,name,desc,class,link
371,Printed Cotton Mandarin Neck Women's Straight Fit Kurta,Leaf Print Straight Kurta With 3/4Th  Perfect For Casual Wear, India  Kurta  Cotton  Woven Silouhette Straight  Neckline Mandarin Collar  Casual Wear  3/4th   Calf   Straight  Women  Printed,https://www.shoppersstop.com/infuse-printed-cotton-mandarin-neck-women-s-straight-fit-kurta/p-A21INFSKU1O/colorChange/A21INFSKU1O_BLUSH?currentPosition=22&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D15&totalResultVal=14644&searchPageType=category
372,Round Neck Crepe Flared Womens Lehenga Choli Set,Juniper Black Shantoon Gold Foil Print Lehenga Choli Dupatta Set With Sequin & Zari Detailing -, India  Embroidered Top Hemline Flare Wash Hand Wash  Lehenga Choli Set  Half   Crepe Neckline Round Neck Silouhette Flare  Full   Festive Wear Type of work Embellished  Woven Dupatta Yes  Women,https://www.shoppersstop.com/juniper-round-neck-crepe-flared-womens-lehenga-choli-set/p-A212634B/colorChange/A212634B_BLACK?currentPosition=23&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D15&totalResultVal=14644&searchPageType=category
373,Womens V Neck Slub Embroidered Palazzo Suit,"A melange of timeless tradition and contemporary style, this palazzo suit from Varanga will be an excellent pick for you. It features a slub pattern that lends it a classy look, while the v neck accentuates its design. Besides, it is comfortable to wear as it is tailored with superior quality fabric.", India Sleeve  Three Quarter   Embroidered  Kurta Palazzo Set  Cuffed   Bhagalpuri Silk Neckline V Neck  Calf   Festive Wear Bottom Color Yellow Type of work Gota Embroidery Bottom Type Pallazos  Straight Dupatta Yes  Women,https://www.shoppersstop.com/varanga-womens-v-neck-slub-embroidered-palazzo-suit/p-205578845/colorChange/205578845_YELLOW?currentPosition=24&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D15&totalResultVal=14644&searchPageType=category
374,Printed V Neck Cotton Blend Women's Midi Dress,"Mint, printed, cotton blend, midi-dress by Haute Curry. This dress has a v-neckline, print on one of the shoulders, button down detail at the front, and pockets.", Single  India  Midi Dress  Cotton Blend Neckline V Neck  Casual Wear  3/4   Regular  Printed  Calf   Woven,https://www.shoppersstop.com/haute-curry-printed-v-neck-cotton-blend-women-s-midi-dress/p-SS23HCDR2337/colorChange/SS23HCDR2337_MINT?currentPosition=25&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D15&totalResultVal=14644&searchPageType=category
375,Stripes Silk Round Neck Women's Kurta Palazzo Set With Dupatta,"Impress everyone with your stunning traditional look by wearing this poly silk kurta, bottom and dupatta set from Janasya. Fine finish and latest design, this stripe printed green kurta features round neck, three quarter sleeves and a straight silhouette. It comes with same colored solid partially elasticated waistband pant and chiffon dupatta which has gota lace border. This trendy design speaks a language of elegance and feminity enhancing the beauty of the women which can be worn for functions, festivals and parties.", India Sleeve  3/4th   Stripes  Kurta Palazzo Set  Silk Neckline Round Neck Silouhette Regular  Calf   Festive Wear  Regular  Woven Dupatta Yes  Women,https://www.shoppersstop.com/janasya-stripes-silk-round-neck-women-s-kurta-palazzo-set-with-dupatta/p-S22JASET320/colorChange/S22JASET320_GREEN?currentPosition=1&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D16&totalResultVal=14644&searchPageType=category
376,Printed Rayon Regular Women's Kurta,., 1  India  Kurtas  Rayon  Woven  Festive Wear  Regular  Regular  Women  Printed,https://www.shoppersstop.com/readiprint-fashions-printed-rayon-regular-women-s-kurta/p-S231791462/colorChange/S231791462_GREEN?currentPosition=2&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D16&totalResultVal=14644&searchPageType=category
377,Printed Round Neck Regular Fit Women's Kurta,Look graceful wearing this soothing calf-length kurta in a soft pink shade with monochrome floral rose prints all over the body from Infuse. Team it with a pair of leggings or palazzos for a stunning look., India  Kurtas  Rayon  Woven Neckline Round Neck  Casual Wear  3/4   Calf   Regular  Printed,https://www.shoppersstop.com/infuse-printed-round-neck-regular-fit-women-s-kurta/p-S22INKU335/colorChange/S22INKU335_PINK?currentPosition=3&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D16&totalResultVal=14644&searchPageType=category
378,Womens Mandarin Collar Printed Kurta,"Get your wardrobe overhaul with this kurta from presented by Varanga. Tailored with care using fine quality cambric fabric, it is not only comfortable to wear for long hours but also easy to maintain. Besides, it features a printed pattern that lends it a stylish look, while the side slits accentuate the design.", India  Kurta  Cambric Cotton  Woven Back Style Collared Type of work Printed Neckline Mandarin  Festive Wear  Cuffed   Calf   Straight  Women  Printed,https://www.shoppersstop.com/varanga-womens-mandarin-collar-printed-kurta/p-205578813/colorChange/205578813_PEACH?currentPosition=4&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D16&totalResultVal=14644&searchPageType=category
379,Women's V Neck Chinon Flared Kurta And Pant Set,"Add a twist to your everyday style with this chic and versatile kurta set. This kurta set features a charming v-neck and well-tailored three-quarter regular sleeves. Kurta : elegant purple hue, lovely v-neck, three-quarter regular sleeves, calf length, chinon fabric. Bottom: solid pant, elasticated waist, chinon fabric.", Single  India  Floral  Kurta Trouser Set  3/4   Polyester Neckline V Neck Silouhette Flare  Calf   Festive Wear  Regular  Woven Dupatta No Collar Regular Collar Hemline Flare Waist Rise Mid Rise Closure Type Elastic,https://www.shoppersstop.com/ziyaa-women-s-v-neck-chinon-flared-kurta-and-pant-set/p-A22ZIKUCH3741/colorChange/A22ZIKUCH3741_PURPLE?currentPosition=5&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D16&totalResultVal=14644&searchPageType=category
380,Solid Cambric V Neck Womens Casual Wear Top,"Olive, cut-out work, puffed sleeve top by Haute Curry. The scrunched waist and button-down detail adds the 'wow' factor to your look. Pair it with cool-toned pants and matching accessories.",Sleeve Style Short   India  Solid & Embroidered  Tunics & Tops  Cambric Dobby  Woven Silouhette Regular Neckline V Neck  Casual Wear  Hip   Regular,https://www.shoppersstop.com/haute-curry-solid-cambric-v-neck-womens-casual-wear-top/p-SS22HC656/colorChange/SS22HC656_OLIVE?currentPosition=6&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fpage%3D16&totalResultVal=14644&searchPageType=category
