,name,desc,class,link
1262,Cotton Polyester Fleece Jogger Fit Men's Track Pants,., Knit  India  Athleisure  Cotton Polyester Fleece  Jogger  Waist Rise Mid Rise  Ankle   Pack of 1,https://www.shoppersstop.com/van-heusen-cotton-polyester-fleece-jogger-fit-men-s-track-pants/p-AW201LK4550043V/colorChange/AW201LK4550043V_GREY_MELANGE?currentPosition=13&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D66&totalResultVal=24600&searchPageType=category
1263,Checks Cotton Regular Fit Men's Casual Shirt,., Shirts  India  Cotton Collar Cut Away Collar  Full   Regular  Checks  Single  Casual Wear  Full ,https://www.shoppersstop.com/wrangler-checks-cotton-regular-fit-men-s-casual-shirt/p-S23WMSH004551BL/colorChange/S23WMSH004551BL_BLACK?currentPosition=14&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D66&totalResultVal=24600&searchPageType=category
1264,Solid Polyester Regular Fit Men's Puffer Jacket,., India  Polyester  Solid  Jacket  Full   Regular  Casual Wear  Pack of 1  Knee length,https://www.shoppersstop.com/fratini-solid-polyester-regular-fit-men-s-puffer-jacket/p-A211STJKT1102OL/colorChange/A211STJKT1102OL_OLIVE?currentPosition=15&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D66&totalResultVal=24600&searchPageType=category
1265,Printed Cotton Regular Fit Men's T-Shirt,"Carry yourself in this chic printed, high-quality cotton t-shirt with a unique layout from Life. The vertical stripes and classy typography makes it an ideal pick for any casual event.", India  Half   Regular Neckline Crew  Printed  100% Cotton  Single  Regular  Casual Wear  T-Shirts  Knit,https://www.shoppersstop.com/life-printed-cotton-regular-fit-men-s-t-shirt/p-AW22LFAOPTEE137/colorChange/AW22LFAOPTEE137_DUST-IVORY?currentPosition=16&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D66&totalResultVal=24600&searchPageType=category
1266,Printed Crepe Regular Fit Men's Casual Shirt,., Shirts  India  Crepe Collar Spread Collar  Full   Regular  Printed  Single  Casual Wear  Neckline Collared,https://www.shoppersstop.com/tistabene-printed-crepe-regular-fit-men-s-casual-shirt/p-A22MSH1060/colorChange/A22MSH1060_MULTI?currentPosition=17&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D66&totalResultVal=24600&searchPageType=category
1267,Printed Poly Silk Slim Fit Men's Festive Wear Waistcoat,., India  Sleeveless Category Indianwear  Poly Silk  Festive Wear  Printed  Slim,https://www.shoppersstop.com/bandeya-printed-poly-silk-slim-fit-men-s-festive-wear-waistcoat/p-A21SULSWCTJK-08/colorChange/A21SULSWCTJK-08_MINT?currentPosition=18&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D66&totalResultVal=24600&searchPageType=category
1268,Quilted Polyester Regular Fit Men's Jacket,., India  100% polyester  Quilted  Jacket  Full  Neckline Unassigned  Regular  Casual Wear  Pack of 1 Collection Casual Wear Stretch Non-Stretch Collar Cut Away,https://www.shoppersstop.com/life-quilted-polyester-regular-fit-men-s-jacket/p-A21LCINDJKT001Y/colorChange/A21LCINDJKT001Y_YELLOW?currentPosition=19&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D66&totalResultVal=24600&searchPageType=category
1269,Solid Cotton Blend Regular Fit Men's T-Shirt,., India  Half   Regular Neckline Round Neck  Solid  Cotton Blend  Pack of 1  Sports,https://www.shoppersstop.com/infuse-solid-cotton-blend-regular-fit-men-s-t-shirt/p-A21IGH049/colorChange/A21IGH049_ORANGE_MELANGE?currentPosition=20&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D66&totalResultVal=24600&searchPageType=category
1270,Solid Cotton Slim Fit Men's T-Shirt,., India  Half   Slim Neckline Polo  Solid  100% Cotton  Single  Casual Wear  T-Shirts,https://www.shoppersstop.com/wrogn-solid-cotton-slim-fit-men-s-t-shirt/p-WRSS23WQTS1205S/colorChange/WRSS23WQTS1205S_RED?currentPosition=21&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D66&totalResultVal=24600&searchPageType=category
1271,Stripes Cotton Blend Regular Fit Men's T-Shirt,Venitian t-shirts are made from premium cotton which are breathable as well as fashionable, India  Full   Regular Neckline Polo  Stripes  Cotton Blend  1  Regular  Casual Wear Collar Button Down Collar  T-Shirts  Knit,https://www.shoppersstop.com/venitian-forbidden-clothing-stripes-cotton-blend-regular-fit-men-s-t-shirt/p-OS8585INDIGO/colorChange/OS8585INDIGO_INDIGO?currentPosition=22&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D66&totalResultVal=24600&searchPageType=category
1272,Solid Cotton Slim Fit Men's Cardigan,"Look stylish and stay warm by wearing this comfortable cardigan from rigo. As the winter season is approaching, gear up your wardrobe with this rigo cardigan by rigo collection. For a complete ensemble team it up with a shirt, a pair of jeans or trousers and sneakers.",Collar Lapel Collar  Knit  Single  Regular  India  Cotton  Solid  Cardigan  Full   Slim  Casual Wear,https://www.shoppersstop.com/rigo-solid-cotton-slim-fit-men-s-cardigan/p-LC12171019/colorChange/LC12171019_GREY?currentPosition=23&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fmen-clothing%2Fc-A1010%3Fpage%3D66&totalResultVal=24600&searchPageType=category
