,name,desc,class,link
30,Solid Polyester Blend Regular Fit Women's Casual Pants,., India  Pants  Polyester Blend  Regular  Regular  Casual Wear Waist Rise Mid Rise  Solid Closure Type Hook and Eye  Woven Wash Light Wash,https://www.shoppersstop.com/magre-solid-polyester-blend-regular-fit-women-s-casual-pants/p-S22MASS20R1S454/colorChange/S22MASS20R1S454_BEIGE?currentPosition=6&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D2&totalResultVal=18593&searchPageType=category
31,Embroidered Cotton Round Neck Women's Regular Fit T-Shirt,"Round Neck, Regular , Embroidery T-Shirt", India  T-Shirts  Cotton Neckline Round Neck  Regular  Regular  Embroidered  Essential,https://www.shoppersstop.com/infuse-embroidered-cotton-round-neck-women-s-regular-fit-t-shirt/p-S21INFEMBKTPPK/colorChange/S21INFEMBKTPPK_PINK?currentPosition=7&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D2&totalResultVal=18593&searchPageType=category
32,Printed Round Neck Polyester Womens A-Line Dress,., India  Polyester  Casual Wear  Half  Neckline Round Neck  Dress  Printed  Knee  Closure Type Pull-On Silouhette A Line  Women,https://www.shoppersstop.com/rare-printed-round-neck-polyester-womens-a-line-dress/p-S21RAREEP7032PE/colorChange/S21RAREEP7032PE_PEACH?currentPosition=8&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D2&totalResultVal=18593&searchPageType=category
33,Printed Round Neck Viscose Blend Women's Midi Dress,"Blue, viscose blend, sleeveless dress by Fratini. This dress has a button down detail at the front, v-neck, and flared skirt bottom. Perfect for a sunny day out or any day-time events. Pair it with white accessories to best let it shine.", Single Sleeve Style Sleeveless  India  Viscose Blend  Casual Wear  Woven  Sleeveless Neckline Round Neck  Midi Dress  A Line  Printed  Calf ,https://www.shoppersstop.com/fratini-printed-round-neck-viscose-blend-women-s-midi-dress/p-S23346DR36/colorChange/S23346DR36_BLUE?currentPosition=9&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D2&totalResultVal=18593&searchPageType=category
34,Solid Round Neck Rayon Women's Woven Top,Solid Woven Top With Baloon , Tops  India  Rayon  Woven  Half   Casual Wear  Solid Neckline Round Neck  Regular Silouhette Regular  Regular Material Rayon  Women,https://www.shoppersstop.com/life-solid-round-neck-rayon-women-s-woven-top/p-A21507WTLD62/colorChange/A21507WTLD62_WHITE?currentPosition=10&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D2&totalResultVal=18593&searchPageType=category
35,Floral Chiffon V Neck Womens Top,"Green regular wrap top, floral print, v-neck, long, cuffed sleeves sleeves, ruffles detail, woven chiffon", Single Hemline Straight Sleeve Style Cuff   Tops  India  Chiffon  Full   Casual Wear  Floral Neckline V Neck Collar Regular Collar  Regular  Regular  Women,https://www.shoppersstop.com/rare-floral-chiffon-v-neck-womens-top/p-A22EP7538AGREEN/colorChange/A22EP7538AGREEN_GREEN?currentPosition=11&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D2&totalResultVal=18593&searchPageType=category
36,Floral Polyester Round Neck Women's Top,., Single Hemline Straight  Tops Pockets No Pockets Waist Rise Mid Rise  India  Polyester  Woven  Full   Casual Wear  Floral Neckline Round Neck Collar Regular Collar  Regular Closure Type Button  Regular,https://www.shoppersstop.com/and-floral-polyester-round-neck-women-s-top/p-FW22AG117TX170A/colorChange/FW22AG117TX170A_POWDER_BLUE?currentPosition=12&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D2&totalResultVal=18593&searchPageType=category
37,Solid Regular Fit Rayon Women's Casual Pants,Solid Jogger With Tie Up Detail, India  Pants  Rayon  Regular  Regular  Casual Wear Silouhette Regular  Solid  Woven,https://www.shoppersstop.com/life-solid-regular-fit-rayon-women-s-casual-pants/p-A21507TJOOGER59/colorChange/A21507TJOOGER59_BLACK?currentPosition=13&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D2&totalResultVal=18593&searchPageType=category
38,Abstract Georgette V Neck Women's Maxi Dress,., Single Hemline Curved Sleeve Style Bell  Stretchable No Belt Loops No  India  Georgette  Casual Wear  Woven  3/4  Neckline V Neck  Maxi Dress  A Line  Abstract Pockets No Pocket Wash Mid Wash Distress Clean  Women,https://www.shoppersstop.com/qurvii-abstract-georgette-v-neck-women-s-maxi-dress/p-14075BLACK/colorChange/14075BLACK_BLACK?currentPosition=14&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D2&totalResultVal=18593&searchPageType=category
39,Solid Round Neck Polyester Blend Women's Regular Dress,Formal Top, India  Polyester Blend  Formal Wear  Woven  Half  Neckline Round Neck  Dress  Regular  Solid  Regular Silouhette Regular,https://www.shoppersstop.com/stop-solid-round-neck-polyester-blend-women-s-regular-dress/p-S21342DR04/colorChange/S21342DR04_NAVY?currentPosition=15&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D2&totalResultVal=18593&searchPageType=category
40,Graphic Cotton Round Neck Women's Regular Fit T-Shirt,"Round Neck, Regular , Graphic Cotton T-Shirt", India  T-Shirts  Cotton Neckline Round Neck  Regular  Regular  Embroidered  Essential,https://www.shoppersstop.com/infuse-graphic-cotton-round-neck-women-s-regular-fit-t-shirt/p-S21INFGRAKTPBAN/colorChange/S21INFGRAKTPBAN_ANTHRA?currentPosition=16&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D2&totalResultVal=18593&searchPageType=category
41,Solid Round Neck Rayon Women's Woven Top,Solid Woven Top With Baloon , Tops  India  Rayon  Woven  Half   Casual Wear  Solid Neckline Round Neck  Regular Silouhette Regular  Regular Material Rayon  Women,https://www.shoppersstop.com/life-solid-round-neck-rayon-women-s-woven-top/p-A21507WTLD62/colorChange/A21507WTLD62_NAVY?currentPosition=17&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D2&totalResultVal=18593&searchPageType=category
42,Skinny Fit Ankle Length Cotton Lycra Women's Jeans,3-Button Skinny  Denim Jeans, India  Cotton Lycra  Skinny  Ankle   Jeans Silouhette Skinny  Solid  Casual Wear,https://www.shoppersstop.com/life-skinny-fit-ankle-length-cotton-lycra-women-s-jeans/p-S215073BDENIM-2/colorChange/S215073BDENIM-2_INDIGO?currentPosition=18&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D2&totalResultVal=18593&searchPageType=category
43,Printed Polyester V Neck Women's Midi Dress,., Single  India  Polyester  Casual Wear  Woven  Half  Neckline V Neck  Midi Dress  Regular  Printed  Regular Wash Light Wash,https://www.shoppersstop.com/sera-printed-polyester-v-neck-women-s-midi-dress/p-LA4133NAVYFL/colorChange/LA4133NAVYFL_NAVY?currentPosition=19&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D2&totalResultVal=18593&searchPageType=category
44,Solid Cotton Blend Square Neck Women's Regular Top,"Bring an aristocrat vibe to your casual wear with this exceptional chocolaty solid regular top by Fratini. Styled in front gathers, this top comes in the square neck and button-down style. Pair it with black slim-fit cropped pants and gold stilettoes paired with a gold bag to glam up on casual occasions.", Single  Tops  India  Cotton Blend  Woven  Short   Casual Wear  Solid Neckline Square Neck  Regular Silouhette Regular  Regular  Unisex,https://www.shoppersstop.com/fratini-solid-cotton-blend-square-neck-women-s-regular-top/p-S22346WT268/colorChange/S22346WT268_CHOCOLATE?currentPosition=20&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D2&totalResultVal=18593&searchPageType=category
45,Dark Wash Cotton Blend Slim Fit Women's Jeans,"ated from a cotton blend, this mid-rise, ankle-length, dark wash pair of jeans with a five-pocket style is a versatile pick by Infuse. Casually pair this with any Indian or western wear to look stunning.", Single  India  Cotton Blend  Slim Waist Rise Mid Rise  Ankle   Jeans Wash Dark Wash Pockets 5 Pockets  Solid  Casual Wear Closure Type Zipper  Woven,https://www.shoppersstop.com/infuse-dark-wash-cotton-blend-slim-fit-women-s-jeans/p-INFLWD-01/colorChange/INFLWD-01_INDIGO?currentPosition=21&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D2&totalResultVal=18593&searchPageType=category
46,Printed Round Neck Viscose Women's Regular Dress,Mid- With Side Slit Printed Dress, India  Viscose  Casual Wear  Woven  Half  Neckline Round Neck  Dress  Regular  Solid  Regular Material Viscose Silouhette Regular  Type Printed  Women,https://www.shoppersstop.com/life-printed-round-neck-viscose-women-s-regular-dress/p-A21507DRNC105/colorChange/A21507DRNC105_OFF_WHITE?currentPosition=22&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-westernwear%2Fc-A2060%3Fpage%3D2&totalResultVal=18593&searchPageType=category
